epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.654,1.52891,4.17902,0.01839,0.34707,0.39077,0.28967,0.1282,1.78176,2.65004,0.03179,0.000416111,0.000416111,0.000416111
2,586.251,1.52123,2.7449,0.01817,0.55219,0.52332,0.50504,0.2709,1.71996,1.84877,0.0309,0.000805296,0.000805296,0.000805296
3,869.143,1.53609,2.42852,0.01836,0.57396,0.57209,0.54998,0.287,1.71505,1.64447,0.02978,0.00116698,0.00116698,0.00116698
4,1150.84,1.53187,2.26794,0.01818,0.61996,0.60593,0.60193,0.32995,1.66604,1.40936,0.0286,0.00112625,0.00112625,0.00112625
5,1421.39,1.50299,2.15931,0.01779,0.6612,0.64804,0.6591,0.37967,1.61562,1.31595,0.02747,0.001085,0.001085,0.001085
6,1693.51,1.47041,2.07286,0.01728,0.64541,0.64189,0.65672,0.39149,1.54088,1.31369,0.02621,0.00104375,0.00104375,0.00104375
7,1986.49,1.45116,2.01566,0.01714,0.70352,0.67035,0.70624,0.41348,1.5867,1.2016,0.02691,0.0010025,0.0010025,0.0010025
8,2270.06,1.43133,1.96316,0.01657,0.71055,0.6803,0.71074,0.42917,1.52629,1.15352,0.02566,0.00096125,0.00096125,0.00096125
9,2553.68,1.41761,1.91134,0.01645,0.72856,0.68781,0.73075,0.46224,1.49403,1.10023,0.02496,0.00092,0.00092,0.00092
10,2839.15,1.40203,1.89135,0.01621,0.69056,0.70058,0.72195,0.44609,1.53507,1.10895,0.02501,0.00087875,0.00087875,0.00087875
11,3124.75,1.39605,1.87472,0.01615,0.77891,0.64798,0.74386,0.47294,1.50382,1.08056,0.0245,0.0008375,0.0008375,0.0008375
12,3408.73,1.37344,1.83984,0.01594,0.72908,0.71398,0.74514,0.47779,1.45055,1.04915,0.02352,0.00079625,0.00079625,0.00079625
13,3693.1,1.36019,1.82273,0.01556,0.7043,0.71272,0.74285,0.47667,1.43732,1.01376,0.02354,0.000755,0.000755,0.000755
14,3963.92,1.34553,1.795,0.01541,0.79573,0.66866,0.74902,0.50121,1.40252,1.00688,0.02297,0.00071375,0.00071375,0.00071375
15,4232.89,1.33303,1.76354,0.01533,0.73714,0.721,0.76246,0.50492,1.36342,0.99257,0.02244,0.0006725,0.0006725,0.0006725
16,4500.75,1.32878,1.75061,0.01515,0.70836,0.72295,0.75392,0.49274,1.42612,1.00218,0.02294,0.00063125,0.00063125,0.00063125
17,4769.86,1.31317,1.71466,0.01494,0.733,0.73514,0.76438,0.50146,1.41003,0.98219,0.02274,0.00059,0.00059,0.00059
18,5038.12,1.29724,1.69253,0.01484,0.76373,0.7368,0.77262,0.51283,1.37742,0.93469,0.02283,0.00054875,0.00054875,0.00054875
19,5306.45,1.28973,1.66786,0.01461,0.77659,0.73051,0.78531,0.5192,1.35709,0.91015,0.02212,0.0005075,0.0005075,0.0005075
20,5579.88,1.278,1.67836,0.01454,0.75871,0.75351,0.79104,0.53396,1.33647,0.89519,0.02159,0.00046625,0.00046625,0.00046625
21,5834.18,1.25936,1.45457,0.01783,0.76938,0.76534,0.79623,0.54407,1.29064,0.88839,0.02087,0.000425,0.000425,0.000425
22,6087.84,1.23802,1.40992,0.01739,0.76941,0.77209,0.79985,0.55138,1.28486,0.86717,0.0206,0.00038375,0.00038375,0.00038375
23,6341.17,1.22454,1.38063,0.017,0.78211,0.74206,0.79542,0.55681,1.25309,0.86843,0.02006,0.0003425,0.0003425,0.0003425
24,6594.91,1.20981,1.35537,0.01692,0.79851,0.75392,0.80033,0.56207,1.2671,0.84941,0.01996,0.00030125,0.00030125,0.00030125
25,6848.51,1.19564,1.332,0.01652,0.78879,0.75791,0.80165,0.56364,1.25415,0.84466,0.02002,0.00026,0.00026,0.00026
26,7103.28,1.18683,1.30525,0.01635,0.78461,0.75652,0.80623,0.5692,1.2435,0.82444,0.01978,0.00021875,0.00021875,0.00021875
27,7363.1,1.17642,1.30195,0.01625,0.76962,0.7804,0.8087,0.57407,1.23682,0.81844,0.01966,0.0001775,0.0001775,0.0001775
28,7618.19,1.16909,1.29007,0.01601,0.78172,0.76469,0.80866,0.5736,1.23101,0.82356,0.01963,0.00013625,0.00013625,0.00013625
29,7886.3,1.15843,1.27382,0.01594,0.77218,0.76847,0.80948,0.57174,1.23901,0.82344,0.01968,9.5e-05,9.5e-05,9.5e-05
30,8155.04,1.15256,1.26184,0.01587,0.79718,0.7557,0.80947,0.57315,1.23369,0.81755,0.01958,5.375e-05,5.375e-05,5.375e-05
