epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.47,1.93943,4.14369,0.02407,0.22395,0.20346,0.14336,0.05355,2.17012,3.59288,0.03897,0.00041403,0.00041403,0.00041403
2,319.43,1.85039,3.41983,0.02263,0.34223,0.32878,0.25333,0.11103,1.96228,2.64722,0.03402,0.000814248,0.000814248,0.000814248
3,447.204,1.86776,3.07799,0.02306,0.45063,0.38177,0.34295,0.16458,2.09837,2.33845,0.03708,0.00119797,0.00119797,0.00119797
4,575.92,1.86662,2.93273,0.02274,0.44714,0.47272,0.43653,0.21181,1.96888,2.12911,0.03361,0.00117575,0.00117575,0.00117575
5,705.311,1.85237,2.84811,0.02269,0.49839,0.46843,0.43093,0.18553,2.08785,1.98433,0.03565,0.001151,0.001151,0.001151
6,835.657,1.84282,2.79751,0.02249,0.5155,0.48085,0.46174,0.21523,1.92881,1.93391,0.033,0.00112625,0.00112625,0.00112625
7,965.851,1.82727,2.72489,0.02231,0.52467,0.46822,0.48474,0.25124,1.89951,1.8713,0.03207,0.0011015,0.0011015,0.0011015
8,1095.87,1.81427,2.69029,0.02217,0.5706,0.50086,0.48649,0.24656,1.91159,1.90091,0.033,0.00107675,0.00107675,0.00107675
9,1226.14,1.80639,2.65489,0.02192,0.57682,0.51204,0.52232,0.27407,1.93669,1.78745,0.03274,0.001052,0.001052,0.001052
10,1355.88,1.80563,2.63892,0.02197,0.55201,0.54076,0.54156,0.2934,1.89328,1.68834,0.03223,0.00102725,0.00102725,0.00102725
11,1486.33,1.79918,2.60754,0.0219,0.53386,0.52958,0.5247,0.28718,1.79955,1.80142,0.02998,0.0010025,0.0010025,0.0010025
12,1616.08,1.79049,2.57498,0.02163,0.58686,0.54825,0.55459,0.29446,1.83592,1.72858,0.03051,0.00097775,0.00097775,0.00097775
13,1738.33,1.79004,2.55749,0.02164,0.61355,0.55522,0.56346,0.30341,1.86848,1.68764,0.03015,0.000953,0.000953,0.000953
14,1857.23,1.77976,2.54596,0.02151,0.59281,0.57053,0.58706,0.30441,1.91141,1.67522,0.03109,0.00092825,0.00092825,0.00092825
15,1974.42,1.77924,2.5279,0.0216,0.58217,0.56649,0.5873,0.32456,1.81142,1.59748,0.02993,0.0009035,0.0009035,0.0009035
16,2092.55,1.76877,2.49468,0.02127,0.61318,0.57473,0.5839,0.3185,1.81974,1.66479,0.03004,0.00087875,0.00087875,0.00087875
17,2209.91,1.76129,2.49581,0.02129,0.62936,0.57321,0.59392,0.31976,1.82304,1.58344,0.02968,0.000854,0.000854,0.000854
18,2325.42,1.74992,2.46465,0.02095,0.63027,0.55548,0.59855,0.34374,1.79155,1.52289,0.02929,0.00082925,0.00082925,0.00082925
19,2439.97,1.75202,2.45766,0.02088,0.6022,0.60003,0.6006,0.34408,1.7434,1.49785,0.02875,0.0008045,0.0008045,0.0008045
20,2554.09,1.75567,2.45068,0.0211,0.60486,0.58974,0.61054,0.33736,1.81374,1.52699,0.02921,0.00077975,0.00077975,0.00077975
21,2668.01,1.74419,2.43152,0.02102,0.64399,0.58752,0.62329,0.34706,1.76874,1.48879,0.02871,0.000755,0.000755,0.000755
